Bulk_Density,CEC,Clay_Content,Coarse_Fragments,Dist_Fault,Dist_River,Dist_Road,Geology_Nepal_ID,Geology_geo8apg_ID,LULC,NDVI,Nitrogen,Sand_Content,Silt_Content,Soil_Organic_Carbon,Soil_pH,aspect,date,elevation,precipitation,rainfall_360d,rainfall_7d,slope,longitude,latitude
122,137,284,142,10970.16323627929,952.4261371168932,823.0565267562271,003,0,10,6545.434782608696,2478,285,431,309,58,159.36004572133925,2024-01-01,297,0,1582.3269444704056,0.0,5.925421213337063,84.48306358183932,27.75526366363796
124,134,282,122,10797.665717152002,902.6833435094608,716.6745470017664,003,0,10,6772.086956521739,2315,290,427,322,57,180.0,2024-01-01,301,0,1582.3269444704056,0.0,2.7802885155287553,84.48306358183932,27.75626366363796
124,134,282,122,10797.665717152002,902.6833435094608,716.6745470017664,003,0,10,6772.086956521739,2315,290,427,322,57,204.32361996869966,2024-01-01,305,0,1582.3269444704056,0.0,5.075884445508437,84.48306358183932,27.757263663637957
124,158,253,122,10628.18445628023,900.5871590391783,623.1486118022735,003,0,10,6661.521739130435,1938,347,400,283,58,228.4937449451305,2024-01-01,325,0,1564.5579404830933,0.0,12.39880363084802,84.48306358183932,27.75826366363796
124,158,253,122,10628.18445627996,900.5871590391038,623.1486118021304,003,0,10,6661.521739130435,1938,347,400,283,58,264.9429937588844,2024-01-01,338,0,1564.5579404830933,0.0,10.406158866448747,84.48306358183932,27.75926366363796
122,160,252,126,10461.866051759593,900.5687750387841,599.6570233595883,003,0,10,6744.913043478261,2186,344,404,313,58,209.46788056694558,2024-01-01,340,0,1564.5579404830933,0.0,10.532805852343193,84.48306358183932,27.760263663637957
122,160,252,126,10461.866051759325,900.5687750387098,599.6570233595883,003,0,10,6744.913043478261,2186,344,404,313,58,202.96616116833445,2024-01-01,353,0,1564.5579404830933,0.0,8.006177592822448,84.48306358183932,27.76126366363796
123,157,252,130,10461.866051759593,900.5687750387841,599.6570233595883,003,0,10,6744.913043478261,2266,368,381,311,58,106.43409656496165,2024-01-01,363,0,1564.5579404830933,0.0,15.965385148964371,84.48306358183932,27.76226366363796
123,157,252,130,10298.863745403512,853.6660207522236,587.220185045833,003,0,10,6791.04347826087,2266,368,381,311,58,101.89739335416157,2024-01-01,373,0,1564.5579404830933,0.0,21.435108520774065,84.48306358183932,27.763263663637957
122,154,242,149,10298.863745403512,853.6660207522236,587.220185045833,003,0,10,6791.04347826087,2120,362,395,323,58,98.38943525870269,2024-01-01,375,0,1564.5579404830933,0.0,18.410124920772564,84.48306358183932,27.76426366363796
122,154,242,149,10139.337477533516,665.5508571985202,620.0831582558359,003,0,10,6853.913043478261,2120,362,395,323,58,94.21727916201098,2024-01-01,386,0,1564.5579404830933,0.0,12.41425459874257,84.48306358183932,27.76526366363796
121,155,253,146,10139.337477533516,665.5508571985202,620.0831582558359,003,0,10,6853.913043478261,2179,356,391,293,57,137.055835400074,2024-01-01,403,0,1564.5579404830933,0.0,20.603061112054895,84.48306358183932,27.766263663637957
122,149,254,156,9983.453889214325,500.3167416551833,707.6882388827435,003,0,10,6523.782608695652,2322,349,398,285,57,286.4333426170773,2024-01-01,424,0,1564.5579404830933,0.0,9.74060781920755,84.48306358183932,27.76726366363796
122,149,254,156,9983.453889214325,500.3167416551833,707.6882388827435,003,0,10,6523.782608695652,2322,349,398,285,57,314.1013002602075,2024-01-01,409,0,1564.5579404830933,0.0,28.146567436745293,84.48306358183932,27.768263663637956
125,160,255,123,9831.386262016413,335.1782150079599,795.5106955460303,003,0,10,5844.565217391304,1952,349,396,296,57,304.5358471216588,2024-01-01,352,0,1564.5579404830933,0.0,30.948158762605047,84.48306358183932,27.76926366363796
125,160,255,123,9831.386262016666,335.17821500829706,795.5106955460303,003,0,10,5844.565217391304,1952,349,396,296,57,322.60112464232765,2024-01-01,301,0,1564.5579404830933,0.0,34.71448490205574,84.48306358183932,27.77026366363796
129,155,243,121,9831.386262016413,335.1782150079599,795.5106955460303,003,0,10,5844.565217391304,1988,338,419,280,57,300.535391603664,2024-01-01,269,0,1564.5579404830933,0.0,7.262911835965302,84.48306358183932,27.771263663637956
129,155,243,121,9683.314384566476,166.14852664138186,908.5275195227885,011,2482,10,5122.652173913043,1988,338,419,280,57,136.7160070823155,2024-01-01,281,0,1564.5579404830933,0.0,7.59964771614425,84.48306358183932,27.77226366363796
131,141,226,146,9683.314384566476,166.14852664138186,908.5275195227885,011,2482,10,5122.652173913043,2062,346,428,307,60,224.09044742142592,2024-01-01,297,0,1564.5579404830933,0.0,8.965443655845494,84.48306358183932,27.77326366363796
131,141,226,146,9539.424334444211,82.4665170500988,1045.782891032395,011,2482,10,5511.739130434783,2062,346,428,307,60,251.20638462162015,2024-01-01,313,0,1564.5579404830933,0.0,14.102978266408574,84.48306358183932,27.774263663637957
129,144,226,133,9539.424334444211,82.4665170500988,1045.782891032395,011,2482,10,5511.739130434783,2040,346,428,278,58,228.49817239773142,2024-01-01,316,0,1564.5579404830933,0.0,4.191553086648911,84.48306358183932,27.77526366363796
129,144,226,133,9399.908163488994,330.2512817970573,1183.0383215507297,011,2482,10,5831.869565217391,2040,346,428,278,58,145.85723552825468,2024-01-01,325,0,1564.5579404830933,0.0,5.585454852514513,84.48306358183932,27.77626366363796
127,162,199,160,9399.908163488994,330.2512817970573,1183.0383215507297,011,2482,10,5831.869565217391,2197,347,454,295,56,141.08551859559466,2024-01-01,335,0,1564.5579404830933,0.0,8.285878610016892,84.48306358183932,27.777263663637957
127,162,199,160,9264.96347435084,330.2445351086156,1328.6730001565165,011,2482,10,5847.304347826087,2197,347,454,295,56,148.6754534115079,2024-01-01,344,0,1564.5579404830933,0.0,13.839243135068955,84.48306358183932,27.77826366363796
